Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Reunion,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,46,93,352,187,860,53%,305,173,740,57%,47,14,120,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,2,2,8,0,7,0%,7,0,7,0%,1,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barthelemy,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,0,0,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,1,1,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,3,4,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,2,2,4,0,10,0%,4,0,10,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,4,5,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,2,3,2,2,2,100%,2,2,2,100%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,36,47,270,193,412,71%,261,186,400,71%,9,7,12,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,119,741,968,819,"1,814",85%,953,808,"1,789",85%,15,11,25,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,0,0,3,3,4,100%,0,0,0,0%,3,3,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,46,56,25,16,37,64%,23,14,34,61%,2,2,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,4,10,10,4,17,40%,4,1,6,25%,6,3,11,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Georgia and the South Sandwich Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,788,"1,080","1,165",973,"1,620",84%,785,639,"1,162",81%,380,334,458,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,376,601,"2,593","1,486","4,821",57%,"2,570","1,469","4,773",57%,23,17,48,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,5,6,150,2,270,1%,147,2,267,1%,3,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svalbard and Jan Mayen,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,83,128,648,569,"1,046",88%,608,539,988,89%,40,30,58,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,114,168,505,377,759,75%,458,337,696,74%,47,40,63,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,3,3,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,61,77,"2,610","2,239","4,221",86%,"2,571","2,217","4,172",86%,39,22,49,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,54,89,271,176,357,65%,261,171,347,66%,10,5,10,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bahamas,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gambia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokelau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,37,44,1,0,8,0%,1,0,8,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0,0,1,0,4,0%,1,0,4,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,2,2,4,0,4,0%,3,0,3,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,43,67,"8,513","6,954","9,215",82%,"8,494","6,945","9,195",82%,19,9,20,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,24,482,52,23,193,44%,15,2,74,13%,37,21,119,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,1,1,23,6,37,26%,10,0,16,0%,13,6,21,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,415,625,"11,353","9,446","12,930",83%,"9,065","8,106","11,514",89%,"2,288","1,340","1,416",59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,"84,113","141,118","69,363","61,020","126,142",88%,"65,420","57,934","120,174",89%,"3,943","3,086","5,968",78%,"36,015","56,305",88%,"12,565","25,964",84%,"3,793","5,109",93%,,,,,,,"1,261","11,687",85%,"11,682","20,837",93%,104,272,85%,,,,,,,,,
United States Minor Outlying Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,117,178,63,20,87,32%,31,8,45,26%,32,12,42,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Virgin Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,1,2,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,0,0,1,0,20,0%,1,0,20,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatican City,3,3,1,1,2,100%,0,0,0,0%,1,1,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,4,4,12,0,14,0%,5,0,6,0%,7,0,8,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,1,1,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,0,0,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,4,5,8,3,8,38%,7,3,7,43%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
