Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Reunion,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,54,65,335,208,596,62%,316,193,564,61%,19,15,32,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,1,2,3,0,0,0%,3,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barthelemy,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,1,1,1,1,1,100%,1,1,1,100%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,5,7,1,0,3,0%,1,0,3,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,1,1,6,2,7,33%,6,2,7,33%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,2,2,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,27,43,202,159,410,79%,193,156,395,81%,9,3,15,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,2,6,1,0,2,0%,0,0,0,0%,1,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,142,354,719,624,"1,126",87%,694,605,"1,097",87%,25,19,29,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,2,3,11,3,11,27%,5,0,5,0%,6,3,6,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,65,81,18,10,35,56%,18,10,35,56%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,0,0,2,0,1,0%,1,0,1,0%,1,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,3,5,6,4,27,67%,1,1,22,100%,5,3,5,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Georgia and the South Sandwich Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,"1,001","1,344","1,346","1,138","1,792",85%,953,805,"1,301",84%,393,333,491,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,0,0,1,1,1,100%,0,0,0,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,336,546,"2,251","1,393","4,044",62%,"2,236","1,384","4,019",62%,15,9,25,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,4,22,162,15,477,9%,148,12,457,8%,14,3,20,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0,0,2,0,2,0%,2,0,2,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,1,4,1,0,4,0%,1,0,4,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svalbard and Jan Mayen,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,62,116,625,540,938,86%,585,508,875,87%,40,32,63,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,104,166,563,420,817,75%,479,352,708,73%,84,68,109,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,0,0,1,0,1,0%,0,0,0,0%,1,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,86,131,"2,905","2,549","3,912",88%,"2,856","2,518","3,852",88%,49,31,60,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,0,0,1,0,1,0%,1,0,1,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,44,95,361,236,484,65%,349,232,462,66%,12,4,22,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bahamas,1,1,2,1,5,50%,2,1,5,50%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gambia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokelau,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,27,27,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,2,5,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,3,3,4,1,6,25%,3,0,5,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,65,76,"4,818","3,894","5,165",81%,"4,795","3,881","5,136",81%,23,13,29,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,1,1,40,24,97,60%,15,5,62,33%,25,19,35,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,1,2,33,17,47,52%,11,0,12,0%,22,17,35,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,387,597,"9,994","8,722","12,303",87%,"9,339","8,244","11,752",88%,655,478,551,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,"77,048","129,070","64,148","56,458","110,786",88%,"60,457","53,577","105,626",89%,"3,691","2,881","5,160",78%,"32,314","48,703",89%,"11,899","24,602",83%,"3,893","5,126",93%,,,,,,,"1,009","6,642",88%,"11,257","20,426",93%,85,127,84%,,,,,,,,,
United States Minor Outlying Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,119,180,40,25,52,62%,19,13,29,68%,21,12,23,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Virgin Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatican City,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,15,18,2,0,1,0%,0,0,0,0%,2,0,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,2,2,2,1,2,50%,1,0,1,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
